link_id,stone_id,observation_id,method,confidence,rationale,review_status
DR81:fortidsminder:188447,DR81,fortidsminder:188447,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR41:fortidsminder:188448,DR41,fortidsminder:188448,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR42:fortidsminder:188448,DR42,fortidsminder:188448,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DREM85312:fortidsminder:190841,DREM85312,fortidsminder:190841,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR82:fortidsminder:193025,DR82,fortidsminder:193025,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR130:fortidsminder:195226,DR130,fortidsminder:195226,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DREM85239:fortidsminder:195248,DREM85239,fortidsminder:195248,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR372:fortidsminder:311,DR372,fortidsminder:311,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR374:fortidsminder:696,DR374,fortidsminder:696,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR400:fortidsminder:1236,DR400,fortidsminder:1236,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR391:fortidsminder:2184,DR391,fortidsminder:2184,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR392:fortidsminder:2184,DR392,fortidsminder:2184,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR394:fortidsminder:2184,DR394,fortidsminder:2184,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR395:fortidsminder:2184,DR395,fortidsminder:2184,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR161:fortidsminder:14218,DR161,fortidsminder:14218,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR160:fortidsminder:14350,DR160,fortidsminder:14350,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR155:fortidsminder:18792,DR155,fortidsminder:18792,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR149:fortidsminder:22029,DR149,fortidsminder:22029,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR69:fortidsminder:49522,DR69,fortidsminder:49522,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR35:fortidsminder:55540,DR35,fortidsminder:55540,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR226:fortidsminder:91186,DR226,fortidsminder:91186,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR250:fortidsminder:95661,DR250,fortidsminder:95661,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR248:fortidsminder:97463,DR248,fortidsminder:97463,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR233:fortidsminder:111590,DR233,fortidsminder:111590,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR213:fortidsminder:112649,DR213,fortidsminder:112649,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR213:fortidsminder:112650,DR213,fortidsminder:112650,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR213:fortidsminder:112651,DR213,fortidsminder:112651,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR370:fortidsminder:122744,DR370,fortidsminder:122744,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR370:fortidsminder:122882,DR370,fortidsminder:122882,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR371:fortidsminder:122882,DR371,fortidsminder:122882,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR379:fortidsminder:122899,DR379,fortidsminder:122899,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR380:fortidsminder:122899,DR380,fortidsminder:122899,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR382:fortidsminder:123354,DR382,fortidsminder:123354,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR217:fortidsminder:129770,DR217,fortidsminder:129770,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR192:fortidsminder:130150,DR192,fortidsminder:130150,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR190:fortidsminder:130151,DR190,fortidsminder:130151,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR191:fortidsminder:130155,DR191,fortidsminder:130155,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR193:fortidsminder:130156,DR193,fortidsminder:130156,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR210:fortidsminder:130175,DR210,fortidsminder:130175,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR211:fortidsminder:130180,DR211,fortidsminder:130180,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR189:fortidsminder:130443,DR189,fortidsminder:130443,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DRAUD1996274:fortidsminder:141178,DRAUD1996274,fortidsminder:141178,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR188:fortidsminder:148036,DR188,fortidsminder:148036,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR187:fortidsminder:148043,DR187,fortidsminder:148043,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DRNOR19885:fortidsminder:170371,DRNOR19885,fortidsminder:170371,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DRDKFYN51:fortidsminder:189466,DRDKFYN51,fortidsminder:189466,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
